active_group_links,active_group_names,distributor_links,distributor_names,former_group_links,former_group_names,founded,founders,hangul,industry,key_people,key_people_links,link,locations,name,other_names,parternship_links,parternship_names,socials,soloist_links,soloist_names,subsidiary_links,subsidiary_names,type,websites
,,,Dreamus,,,2021,,,Music,,,https://kpop.fandom.com/wiki/131_Label,"Seoul, South Korea",131 Label,,,,"https://www.facebook.com/131labelofficial,https://www.instagram.com/official131label/,https://soundcloud.com/user-337673291,https://twitter.com/131_label_,https://www.youtube.com/channel/UC-_-SGJ5Zkq-MtppuOJoNvw",https://kpop.fandom.com//wiki/B.I,B.I,,,Subsidiary,
,,,Genie Music,,,February 2019,,에이엔터테인먼트,,,,https://kpop.fandom.com/wiki/A_Entertainment,"Seoul, South Korea",A Entertainment,,,,"https://www.instagram.com/official.aent/,https://twitter.com/Aplusent2021,https://www.youtube.com/channel/AEntertainmentOfficial",,,,,Unlisted,
,,,,,,"November 2, 2018",,에잇디엔터테인먼트,,,,https://kpop.fandom.com/wiki/8D_Entertainment,"Seoul, South Korea",8D Entertainment,,,,https://www.instagram.com/8dent.official/,"https://kpop.fandom.com//wiki/Kang_Ye_Seul,https://kpop.fandom.com//wiki/Kang_Hye_Won","Kang Ye Seul,Kang Hye Won",,,Private,
https://kpop.fandom.com//wiki/REDSQUARE,REDSQUARE,,MUSIC&NEW,,,March 2020,,,,,,https://kpop.fandom.com/wiki/About_Entertainment,"Seoul, South Korea",About Entertainment,,,,"https://www.facebook.com/aboutent.offical,https://www.instagram.com/aboutent.offical/,https://twitter.com/about_ent,https://www.youtube.com/channel/UCDw3HCcT01B8A037zTQoo9g",https://kpop.fandom.com//wiki/Lina_(REDSQUARE),BLENN,,,Private,
,,,,,,"February 1, 2010",,,,,,https://kpop.fandom.com/wiki/2ABLE_Company,"Seoul, South Korea",2ABLE Company,,,,"https://www.facebook.com/2ablecompany,https://www.instagram.com/2ABLEcompany_official/,https://twitter.com/2ABLE_MAN,https://www.youtube.com/user/2ABLECOMPANY",,,,,Unlisted,
https://kpop.fandom.com//wiki/MAP6,MAP6,,,,,2017,Lee Jong Seok,,,,,https://kpop.fandom.com/wiki/All-S_Company,"Seoul, South Korea",All-S Company,,,,"https://www.facebook.com/ALLS.COM.OFFICIAL,https://www.instagram.com/allscom_official/,https://twitter.com/alls_company,https://www.youtube.com/channel/UCjFn5_50M4MuQ2bW7O3tjEQ",,,,,Private,
https://kpop.fandom.com//wiki/WOW_(group),WOW,,,,,August 2017,,,,,,https://kpop.fandom.com/wiki/A.CONIC,"Seoul, South Korea",A.CONIC,,,,https://www.instagram.com/a_conic_official/,,,,,Private,
,Urban Zakapa,,Kakao Entertainment,,,"January 17, 2019",,어비스컴퍼니,,,,https://kpop.fandom.com/wiki/ABYSS_Company,"Seoul, South Korea",ABYSS Company,,,,"https://www.facebook.com/ABYSSCOMPANY,https://www.instagram.com/official_abysscompany/,https://twitter.com/ABYSS_COMPANY,https://www.youtube.com/channel/UCihqDiBUjaLOK2cPd_qg9EQ",,,,,Private,
"https://kpop.fandom.com//wiki/VAV,https://kpop.fandom.com//wiki/BugAboo","VAV,bugAboo",,,,,2015,,,,,,https://kpop.fandom.com/wiki/A_team_Entertainment,"Seoul, South Korea",A team Entertainment,AQ Entertainment,,,,https://kpop.fandom.com//wiki/Xiao_(singer),Xiao,,,Private,
,,,,,,2014,Kim Hae-kwon,,,,,https://kpop.fandom.com/wiki/Addiction_Entertainment,"Seoul, South Korea",Addiction Entertainment,,,,"https://www.facebook.com/addictioncrew,https://www.instagram.com/a.d_ent_official/",,,,,Private,
,,,Kakao Entertainment,,,"June 9, 2020",,143엔터테인먼트,"Music,Entertainment,Film,Video Production",,,https://kpop.fandom.com/wiki/143_Entertainment,"Yongsan, Seoul, South Korea",143 Entertainment,,,,"https://www.instagram.com/GTMNY143/,https://twitter.com/GTMNY143,https://www.weibo.com/mi7official",,,,,Private,
,,,,,,"March 24, 2017",,에잇디크리에이티브,,,,https://kpop.fandom.com/wiki/8D_Creative,"Seoul, South Korea",8D Creative,,,,,,,,,Private,
,,,,,,,,,,,,https://kpop.fandom.com/wiki/Big_3_agencies,,Big 3 agencies,,,,,,,,,,
https://kpop.fandom.com//wiki/KNK,KNK,,,,,"July 10, 2019",,220엔터테인먼트,,,,https://kpop.fandom.com/wiki/220_Entertainment,,220 Entertainment,,,,"https://www.instagram.com/220ent_official/,https://twitter.com/220ent_official,https://www.youtube.com/channel/UC3WQF0ncn-vibMy8I1GejWQ","https://kpop.fandom.com//wiki/CheongMyeong,https://kpop.fandom.com//wiki/YunGGI","CheongMyeong,YunGGI",,,Private,
,,,,,,"January 27, 2021",Han Ji-seok,비스킷엔터테인먼트,Entertainment,,,https://kpop.fandom.com/wiki/Biscuit_Entertainment,"Gangnam, Seoul, South Korea",Biscuit Entertainment,,,,"https://www.facebook.com/biscuitent,https://www.instagram.com/biscuitent_official/,https://twitter.com/biscuitent,https://www.weibo.com/biscuitent,https://www.youtube.com/channel/UCA6LfYcYmYWasojBlImESVw",,,,,Private,
https://kpop.fandom.com//wiki/LOONA,LOONA,,Kakao Entertainment,,,"March 22, 2016",,블록베리크리에이티브,,,,https://kpop.fandom.com/wiki/BlockBerryCreative,"Seoul, South Korea",BlockBerryCreative,BBC,,,,,,,,Subsidiary,
"https://kpop.fandom.com//wiki/A.C.E_(boy_group),https://kpop.fandom.com//wiki/Forestella","A.C.E,Forestella",,"Sony Music Korea,Kakao Entertainment",,,"May 5, 2016",,비트 인터렉티브,,,,https://kpop.fandom.com/wiki/Beat_Interactive,"Seoul, South Korea",Beat Interactive,,,,"https://www.instagram.com/beatint0505/,https://twitter.com/beatint0505,https://www.youtube.com/channel/UCWseSH0PA2-4-FseReOpWPA",,,,,Private,
"https://kpop.fandom.com//wiki/8eight,https://kpop.fandom.com//wiki/Source_Music,https://kpop.fandom.com//wiki/BTS,https://kpop.fandom.com//wiki/TXT","8eight,Source Music,BTS,TXT",,"YG PLUS,HYBE",,,2021,,빅히트 뮤직,,,,https://kpop.fandom.com/wiki/BigHit_Music,"Seoul, South Korea",BigHit Music,Big Hit Music,,,"https://www.facebook.com/BIGHIT.MUSIC,https://post.naver.com/my.nhn?memberNo=51325039,https://twitter.com/BIGHIT_MUSIC",https://kpop.fandom.com//wiki/Lee_Hyun,Lee Hyun,,,Subsidiary,
https://kpop.fandom.com//wiki/VIVIZ,VIVIZ,,,,,"September 9, 2021",,빅플래닛메이드,,,,https://kpop.fandom.com/wiki/Big_Planet_Made,"Gangnam-gu, Seoul, South Korea",Big Planet Made,"BPM,Big Planet Made Entertainment",,,"https://www.facebook.com/BigPlanetMade,https://www.instagram.com/bpm_ent_official/,https://twitter.com/bpmentofficial,https://www.youtube.com/channel/UC6YMr57knEIYXOOKMmYAFXQ","https://kpop.fandom.com//wiki/Soyou,https://kpop.fandom.com//wiki/Huh_Gak,https://kpop.fandom.com//wiki/Ha_Sung_Woon","Soyou,Huh Gak,Ha Sung Woon",,,,
https://kpop.fandom.com//wiki/G-reyish,G-reyish,,,,,2020,,빅오션ENM,,,,https://kpop.fandom.com/wiki/Big_Ocean_ENM,"Seoul, South Korea",Big Ocean ENM,,,,"https://www.facebook.com/%EB%B9%85%EC%98%A4%EC%85%98%EC%9D%B4%EC%97%94%EC%97%A0-102677088468017/,https://www.instagram.com/bigoceanenm/,https://twitter.com/bigoceanenm,https://www.youtube.com/channel/UCr6hzco6egLXTqD2PQ3-kNQ",,,,,Private,
,,,,,,2018,Katie,,,,,https://kpop.fandom.com/wiki/AXIS,South Korea,AXIS,,,,"https://www.facebook.com/axisccp,https://www.instagram.com/axisccp/,https://twitter.com/AXIS_twt_,https://www.youtube.com/channel/UCiVFu98ffX8rVrHVYVY3OzA","https://kpop.fandom.com//wiki/Katie,https://kpop.fandom.com//wiki/Henry","Katie,Henry",,,Unlisted,
https://kpop.fandom.com//wiki/ENHYPEN,ENHYPEN,,"Genie Music,Stone Music Entertainment",,,"September 17, 2018",,빌리프랩,,,,https://kpop.fandom.com/wiki/Belift_Lab,"Seoul, South Korea",Belift Lab,,,,"https://www.facebook.com/BELIFTLAB,https://www.instagram.com/beliftlab/,https://twitter.com/BELIFTLAB",,,,,Subsidiary,
"https://kpop.fandom.com//wiki/T-ARA,https://kpop.fandom.com//wiki/EXID","T-ARA,EXID",,,,,July 2015,Wang Sicong,,,,,https://kpop.fandom.com/wiki/Banana_Culture_Music,"Shanghai, China",Banana Culture Music,,,,,https://kpop.fandom.com//wiki/Meng_Jia,Meng Jia,,,Private,
"https://kpop.fandom.com//wiki/C-CLOWN,https://kpop.fandom.com//wiki/DPR_IAN,https://kpop.fandom.com//wiki/Siwoo_(C-CLOWN),https://kpop.fandom.com//wiki/Ray_(C-CLOWN),https://kpop.fandom.com//wiki/Kangjun,https://kpop.fandom.com//wiki/T.K,https://kpop.fandom.com//wiki/Lee_Jae_Jun,https://kpop.fandom.com//wiki/EXID,https://kpop.fandom.com//wiki/Hani_(EXID),https://kpop.fandom.com//wiki/Jeonghwa,https://kpop.fandom.com//wiki/Hyelin,https://kpop.fandom.com//wiki/Solji,https://kpop.fandom.com//wiki/LE,https://kpop.fandom.com//wiki/TREI,https://kpop.fandom.com//wiki/Lee_Jae_Jun,https://kpop.fandom.com//wiki/Chae_Chang_Hyun,https://kpop.fandom.com//wiki/Kim_Jun_Tae","C-CLOWN,Rome,Siwoo,Ray,Kangjun,T.K,Maru,EXID,Hani,Jeonghwa,Hyelin,Solji,LE,TREI,Lee Jae Jun,Chae Chang Hyun,Kim Jun Tae",,Kakao M,,,1992,,,,,,https://kpop.fandom.com/wiki/Banana_Culture,"Seoul, South Korea",Banana Culture,"Yedang Entertainment Company,Yedang Entertainment,Yedang Company",,,"https://www.facebook.com/bananact,https://www.instagram.com/bananaculture.ent/",,,,,Subsidiary,
,,,Kakao Entertainment,,,1997,,안테나,,,,https://kpop.fandom.com/wiki/Antenna,"Seoul, South Korea",Antenna,,,,"https://www.facebook.com/antennamusics,https://www.instagram.com/antenna_official/,https://post.naver.com/my.nhn?memberNo=30285670,https://tv.naver.com/antenna,https://twitter.com/antennamusic,https://channels.vlive.tv/f52141,https://www.youtube.com/channel/UCwW6D9G9hegNPKYrQ0zivvQ","https://kpop.fandom.com//wiki/Sam_Kim,https://kpop.fandom.com//wiki/Jung_Seung_Hwan,https://kpop.fandom.com//wiki/Lee_Jin_Ah,https://kpop.fandom.com//wiki/Jukjae,https://kpop.fandom.com//wiki/Lee_Mi_Joo","Toy,Lucid Fall,Park Sae Byul,Jung Jae Hyung,Sam Kim,Kwon Jin Ah,Jung Seung Hwan,Lee Jin Ah,Jukjae,Lee Mi Joo",,,,
"https://kpop.fandom.com//wiki/SPICA,https://kpop.fandom.com//wiki/SG_Wannabe","SPICA,SG Wannabe",,,,,2010,Gil Jong Hwa,,,,,https://kpop.fandom.com/wiki/B2M_Entertainment,"Seoul, South Korea",B2M Entertainment,,,,,"https://kpop.fandom.com//wiki/Heo_Young_Saeng,https://kpop.fandom.com//wiki/Kim_Kyu_Jong,https://kpop.fandom.com//wiki/Lee_Hyori,https://kpop.fandom.com//wiki/Eric_Nam,https://kpop.fandom.com//wiki/Nicole","Heo Young Saeng,Kim Kyu Jong,Lee Hyori,Eric Nam,Nicole",,,Subsidiary,
https://kpop.fandom.com//wiki/FAVORITE_(group),FAVORITE,,,,,"January 17, 2014",,,,,,https://kpop.fandom.com/wiki/Astory_Entertainment,"Seoul, South Korea",Astory Entertainment,,,,,,,,,Private,
,,,"Genie Music,Stone Music Entertainment",,,September 2013,Jay Park,,,,,https://kpop.fandom.com/wiki/AOMG,"Seoul, South Korea",AOMG,,,,"https://www.facebook.com/AOMGOFFICIAL,https://www.instagram.com/aomgofficial/,https://soundcloud.com/aomgofficial,https://www.twitch.tv/aomgofficial,https://twitter.com/aomgofficial,https://www.youtube.com/channel/AOMGofficial",,,,,,
https://kpop.fandom.com//wiki/Highlight_(group),Highlight,,,,,"December 9, 2016","Yoon Doojoon,Yong Junhyung,Yang Yoseop,Lee Gikwang,Son Dongwoon",,,,,https://kpop.fandom.com/wiki/Around_US_Entertainment,"Seoul, South Korea",Around US Entertainment,,,,"https://www.instagram.com/ent_aroundus/,https://twitter.com/ent_aroundus",,,,,Private,
,,,OGAM Entertainment,,,"January 13, 2019",,,,,,https://kpop.fandom.com/wiki/DOUBLE_Entertainment,"Seoul, South Korea",DOUBLE Entertainment,H Brothers Entertainment,,,"https://www.instagram.com/_double_entertainment/,https://www.youtube.com/channel/UCx89yX7v37cQ7fchXjqt_mQ",https://kpop.fandom.com//wiki/Miso_(rapper),Miso,,,Private,
"https://kpop.fandom.com//wiki/MAJORS,https://kpop.fandom.com//wiki/Bian","MAJORS,Bian",,Kakao M,,,2019,,,Entertainment,,,https://kpop.fandom.com/wiki/ANS_Entertainment,"Seoul, South Korea",ANS Entertainment,,,,"https://www.instagram.com/official_ans_/,https://www.youtube.com/channel/UCQT2CDn_eV3kpWp5lCszOAA",https://kpop.fandom.com//wiki/Orly,Orly,,,Private,
https://kpop.fandom.com//wiki/Dynamic_Duo,Dynamic Duo,,,,,"August 18, 2006","Choiza,•,Gaeko",,,,,https://kpop.fandom.com/wiki/Amoeba_Culture,"Mapo-gu, Seoul, South Korea",Amoeba Culture,,,,"https://www.facebook.com/amoebakorea,https://www.instagram.com/amoebakorea/,https://post.naver.com/my.nhn?memberNo=amoeba_event,https://www.tiktok.com/@amoebakorea,https://twitter.com/amoebakorea,https://www.youtube.com/c/amoebakorea","https://kpop.fandom.com//wiki/Choiza,https://kpop.fandom.com//wiki/Gaeko,https://kpop.fandom.com//wiki/HA:TFELT,https://kpop.fandom.com//wiki/Snzae,https://kpop.fandom.com//wiki/Sole","Choiza,Gaeko,HA:TFELT,snzae,Sole,Thama,Huh!",,,Independent,
https://kpop.fandom.com//wiki/PIXY,PIXY,,,,,2020,Lee Sang Ho,,,,,https://kpop.fandom.com/wiki/ALLART_Entertainment,South Korea,ALLART Entertainment,ALLARTENTER,,,"https://www.instagram.com/allartent_official/,https://www.youtube.com/channel/UCGGsFs19hOQN2aNixsLJnZQ","https://kpop.fandom.com//wiki/Haroo,https://kpop.fandom.com//wiki/Park_Jung_Min","Haroo,Park Jung Min",,,Private,
,,,Stone Music Entertainment,,,2018,"Scotty Kim,Ray Yeom",,,,,https://kpop.fandom.com/wiki/D-Nation_Entertainment,"Seoul, South Korea",D-Nation Entertainment,,,,,https://kpop.fandom.com//wiki/Park_Bom,Park Bom,,,,
,,,Stone Music Entertainment,,,"September 11, 1999",Shin Seung Hun,,,,,https://kpop.fandom.com/wiki/Dorothy_Company,"Seoul, South Korea",Dorothy Company,,,,"https://www.facebook.com/dorothycp,https://post.naver.com/my.nhn?memberNo=dorothien,https://twitter.com/dorothy_company,https://channels.vlive.tv/D56539,https://www.youtube.com/channel/UCqWep9DNWqFPBAyJaGQ_g4Q",https://kpop.fandom.com//wiki/Rothy,Rothy,,,Private,
,,,,,,"March 23, 1990",,도레미 미디어,,,,https://kpop.fandom.com/wiki/Doremi_Media,"Paju, South Korea",Doremi Media,,,,,,,,,Subsidiary,
,,,,,,2007,"Seong Won Mo,Park Sang Woo",,,,,https://kpop.fandom.com/wiki/Digipedi,"Seoul, South Korea",Digipedi,,,,"https://www.facebook.com/digipedi,https://www.instagram.com/digipedi/",,,,,,
"https://kpop.fandom.com//wiki/APL,https://kpop.fandom.com//wiki/GIRL_CRUSH","APL,GIRL CRUSH",,,,,2014,,,,Kwon Minseo,https://kpop.fandom.com//wiki/Kwon_Minseo,https://kpop.fandom.com/wiki/DAM_Entertainment,"Seoul, South Korea",DAM Entertainment,,,,,https://kpop.fandom.com//wiki/Coca,DJ COCA,,,Public,
,,,Genie Music,,,"October 28, 2005",,,,,,https://kpop.fandom.com/wiki/CLIMIX,"Seoul, South Korea",CLIMIX,"Climix Tech,Climix Entertainment",,,"https://www.instagram.com/climix_official/,https://channels.vlive.tv/AF69F9",,,,,Unlisted,
"https://kpop.fandom.com//wiki/BTOB,https://kpop.fandom.com//wiki/BTOB-BLUE,https://kpop.fandom.com//wiki/BTOB_4U,https://kpop.fandom.com//wiki/CLC,https://kpop.fandom.com//wiki/PENTAGON,https://kpop.fandom.com//wiki/(G)I-DLE,https://kpop.fandom.com//wiki/Wooseok_X_Kuanlin,https://kpop.fandom.com//wiki/LIGHTSUM","BTOB,BTOB-BLUE,BTOB 4U,CLC,PENTAGON,(G)I-DLE,Wooseok X Kuanlin,LIGHTSUM",,Kakao Entertainment,,,"August 29, 2006","Hong Seung Sung,Shin Jung Hwa",,,,,https://kpop.fandom.com/wiki/Cube_Entertainment,"Seoul, South Korea",Cube Entertainment,,,,"https://static.wikia.nocookie.net/kpop/images/8/8f/Facebook_Icon.png/revision/latest?cb=20190807040623,http://www.cubee.co.kr/,https://twitter.com/cubeunited,https://www.youtube.com/user/theunitedcube,https://www.weibo.com/cubeent","https://kpop.fandom.com//wiki/Jo_Kwon,https://kpop.fandom.com//wiki/Yoo_Seonho,https://kpop.fandom.com//wiki/Soyeon_((G)I-DLE),https://kpop.fandom.com//wiki/Yuqi,https://kpop.fandom.com//wiki/Jung_Ilhoon,https://kpop.fandom.com//wiki/Lee_Minhyuk,https://kpop.fandom.com//wiki/Lee_Changsub,https://kpop.fandom.com//wiki/Peniel,https://kpop.fandom.com//wiki/Lim_Hyunsik,https://kpop.fandom.com//wiki/Yook_Sungjae,https://kpop.fandom.com//wiki/Seo_Eunkwang","Jo Kwon,Yoo Seonho,Jeon Soyeon,Yuqi,Jung Ilhoon,Lee Minhyuk,Lee Changsub,Peniel,Lim Hyunsik,Yook Sungjae,Seo Eunkwang",,,Subsidiary,
https://kpop.fandom.com//wiki/Playback,Playback,,Interpark,,,2015,Tyler Kwon,,,,,https://kpop.fandom.com/wiki/Coridel_Entertainment,"Seoul, South Korea",Coridel Entertainment,,,,"https://www.instagram.com/coridel_entertainment/,https://twitter.com/Coridel_Ent,https://www.youtube.com/channel/UCKS4cz0fI_O0ng8qutflIbQ","https://kpop.fandom.com//wiki/Jessica,https://kpop.fandom.com//wiki/Kevin_(singer),https://kpop.fandom.com//wiki/Eunjin_(Playback)","Jessica,Kevin,Ma Eunjin",,,Unlisted,
,,,,,,"May 2, 2016",,,,,,https://kpop.fandom.com/wiki/Cre.ker_Entertainment,"Seoul, South Korea",Cre.ker Entertainment,,,,https://www.facebook.com/CrekerEnt,,,,,Subsidiary,
"https://kpop.fandom.com//wiki/Crayon_Pop,https://kpop.fandom.com//wiki/Bz-Boys","Crayon Pop,Bz-Boys",,Sony Music Entertainment,,,2012,Hwang Hyun-chang,,,,,https://kpop.fandom.com/wiki/Chrome_Entertainment,"Seoul, South Korea",Chrome Entertainment,,,,"https://twitter.com/chrome_notice,https://www.youtube.com/channel/UC_N_kMplI84ZW5vc54U_q6A",,,,,Subsidiary,
"https://kpop.fandom.com//wiki/Vitamin,https://kpop.fandom.com//wiki/PIERCE","Vitamin,PIERCE",,,,,"January 17, 2018",,,,,,https://kpop.fandom.com/wiki/Clevr_E%26M,"Seoul, South Korea",Clevr E&M,,,,"https://www.facebook.com/clevrent,https://www.instagram.com/clevrtv_official_/,https://twitter.com/clevrtv_,https://www.youtube.com/channel/UCnMBn-PNx1M9TLF0s-sEDeQ",,,,,Private,
,,,,,,"December 16, 1994",,씨제이이엔엠,,,,https://kpop.fandom.com/wiki/CJ_ENM,"Seoul, South Korea",CJ ENM,,,,,,,,,Subsidiary,
"https://kpop.fandom.com//wiki/I.O.I,https://kpop.fandom.com//wiki/SPICA,https://kpop.fandom.com//wiki/Fromis_9,https://kpop.fandom.com//wiki/SG_Wannabe","I.O.I,SPICA,fromis_9,SG Wannabe",,,,,2011,,,,,,https://kpop.fandom.com/wiki/CJ_E%26M_Music,"Seoul, South Korea",CJ E&M Music,,,,,"https://kpop.fandom.com//wiki/Jung_Joon_Young,https://kpop.fandom.com//wiki/Kevin_Oh,https://kpop.fandom.com//wiki/Park_Boram,https://kpop.fandom.com//wiki/Kim_Feel,https://kpop.fandom.com//wiki/Eric_Nam,https://kpop.fandom.com//wiki/Roy_Kim,https://kpop.fandom.com//wiki/Heize","Jung Joon Young,Kevin Oh,Park Boram,Kim Feel,Eric Nam,Roy Kim,Heize",,,Division,
https://kpop.fandom.com//wiki/Double_S_301,Double S 301,,,,,"August 8, 2014",Lee Jae Young,,,,,https://kpop.fandom.com/wiki/CI_Entertainment,"Seoul, South Korea",CI Entertainment,,,,,,,,,Unlisted,
"https://kpop.fandom.com//wiki/Jacoby_Planet,https://kpop.fandom.com//wiki/CIX,https://kpop.fandom.com//wiki/EPEX","Jacoby Planet,CIX,EPEX",,Kakao M,,,2012,Kim Dae Sun,,,,,https://kpop.fandom.com/wiki/C9_Entertainment,"Seoul, South Korea",C9 Entertainment,,,,"https://www.facebook.com/officialc9ent,https://www.instagram.com/officialc9ent/,https://post.naver.com/my.nhn?memberNo=c9webmaster,https://twitter.com/OfficialC9ent,https://www.weibo.com/officialc9ent",,,,,Subsidiary,
,,,NHN Bugs,,,"February 19, 2016",,,,,,https://kpop.fandom.com/wiki/Choon_Entertainment,"Seoul, South Korea",Choon Entertainment,,,,"https://www.facebook.com/choonentertainment,https://www.instagram.com/official_choon/,https://twitter.com/Official_Choon,https://channels.vlive.tv/DFC3ED,https://www.weibo.com/1005055814227895,https://www.youtube.com/channel/UCmj8WrZHrC8FHX9Q6306cgA",,,,,Private,
https://kpop.fandom.com//wiki/24K,24K,,Genie Music,,,"May 15, 2001",Jo Daewon,,,,,https://kpop.fandom.com/wiki/Choeun_Entertainment,"Seoul, South Korea",Choeun Entertainment,,,,https://tv.naver.com/choeunent,,,,,,
,,,,,,,,,,,,https://kpop.fandom.com/wiki/Category:Chinese_companies,,Chinese companies,,,,,,,,,,
