company_name;website;sector;country;revenue_euros
Gallier;www.gallier-orleans.fr;Facilities Services;France;20M to 30M
Gapuma (UK) Ltd ;www.gapuma.com;Chemicals;United Kingdom;75M to 100M
Garmo;www.garmo.de;Food & Drink;Germany;100M to 150M
Gasperlmair;www.glas-gasperlmair.at;Manufacturing;Austria;50M to 75M
GCI;www.gcichannelsolutions.com;IT Technology;United Kingdom;50M to 75M
Gedesco;www.maheso.com;Food & Drink;Spain;75M to 100M
Gefsinus;www.gefsinus.gr;Food & Drink;Greece;20M to 30M
Gelsenkraft;www.gelsenkraft.de;Energy;Germany;40M to 50M
Gerl Bauart;www.gerl-dental.de;Wholesale;Germany;100M to 150M
Geurts Janssen BV;www.geurts-janssen.nl;Manufacturing;Netherlands;50M to 75M
GEVA;www.geva.com;Business Services;Germany;50M to 75M
Giffard;www.giffard.com;Food & Drink;France;20M to 30M
Giró ;www.giro.es;Packaging facilities;Spain;100M to 150M
Gissler & Pass;www.gissler-pass.de;Packaging Facilities;Germany;100M to 150M
GKI;www.gki.at;Manufacturing;Austria;20M to 30M
Globachem;www.globachem.com;Chemicals;Belgium;100M to 150M
Globalfer;www.globalferspa.it;Engineering;Italy;40M to 50M
Globomatik;www.globomatik.com;IT Technology;Spain;75M to 100M
GMT Wintersteller;www.gmt-stahlbau.at;Manufacturing;Austria;30M to 40M
Gnosis Bioresearch;www.gnosis-bio.com;Chemicals;Italy;30M to 40M
GOM;www.gom.com;Technology;Germany;150M to 250M
Goma Elettronica;www.gomaelettronica.it;Technology;Italy;30M to 40M
Gommagomma;www.gommagomma.com;Manufacturing;Italy;20M to 30M
GP Wood;www.gpwood.ie;Agriculture/Farming/Forestry;Ireland;40M to 50M
Grainger & Worrall Ltd ;www.gwcast.com;Machining;United Kingdom;50M to 75M
GRANMAX;www.granmax.lt;Pharmaceutical/Science;Lithuania;30M to 40M
Gransolar Group;www.grs.energy;Energy;Spain;100M to 150M
Grecos Hoildays Sp zoo;www.grecos.pl;Travel/Leisure;Poland;100M to 150M
Greek Air Cargo;www.gac.gr;Logistics;Greece;20M to 30M
Greentech Distribution Plc;www.greentechplc.co.uk;Technology;United Kingdom;150M to 250M
Grespania Cerámica;www.grespania.com;Manufacturing;Spain;75M to 100M
Groningen Seaports NV;www.groningen-seaports.com;Logistics;Netherlands;50M to 75M
GROSBUSCH SARL;www.grosbusch.lu;Food & Drink;Luxembourg;40M to 50M
Ground Control Holdings Ltd;www.ground-control.co.uk;Landscape services;United Kingdom;100M to 150M
Group Chalvignac ;www.groupe-chalvignac.fr;Wholesale;France;20M to 30M
Group Serban;www.grup-serban.ro;Agriculture/Farming/Forestry;Romania;40M to 50M
Group7;www.group-7.de;Logistics;Germany;75M to 100M
GROUPAUTO International ;www.groupautointernational.com;Motor Vehicle Retail;France;40M to 50M
Groupe ADF;www.groupeadf.com;Engineering;France;30M to 40M
Groupe Aqulande;www.groupeaqualande.com;Food & Drink;France;75M to 100M
Groupe Colin (Colin Ingredients);www.colin-ingredients.com;Food & Drink;France;30M to 40M
Groupe Convivo;www.convivio.fr;Food & Drink;France;50M to 75M
Groupe Fed;www.groupefed.fr;Employment Services;France;50M to 75M
Groupe FINDIS ;www.groupefindis.fr;Wholesale;France;150M to 250M
Groupe LAUAK;www.groupe-lauak.com;Manufacturing;France;75M to 100M
Groupe Mericq;www.mericq.com;Wholesale;France;150M to 250M
Groupe Otim ;www.groupeoptim.fr;Professional Services;France;20M to 30M
Groupe Ozitem;www.groupeozitem.com;IT Technology;France;20M to 30M
Groupe SEDA;www.groupeseda.com;Wholesale;France;20M to 30M
Groupe Sweetcom;www.sweetcom.fr;Energy;France;20M to 30M
Groupe TSF;www.tsf.fr;Media;France;30M to 40M
Groupe Vitamine T;www.groupevitaminet.com;Employment Services;France;50M to 75M
Grup Batallé;www.batalle.com;Food & Drink;Spain;150M to 250M
Grupa Topex SP Z.O.O. SK.;www.grupatopex.com;Manufacturing;Poland;50M to 75M
Grupo Ibersnacks;www.grupoibersnacks.com;Food & Drink;Spain;75M to 100M
Grupo Mazo;www.grupomazo.com;Transportation;Spain;75M to 100M
Grupo Segura;www.fsegura.com;Manufacturing;Spain;75M to 100M
Gruppo Di Luca;www.diluca.se;Food & Drink;Sweden;100M to 150M
GSF;www.gsf.fr;Cleaning Services;France;20M to 30M
Guinault ;www.guinault-lebrun.com;Manufacturing & Engineering;France;40M to 50M
Gutbrod;www.gutbrod-ptfe.de;Manufacturing;Germany;75M to 100M
Guzman Global;www.guzmanglobal.com;Consumer Services;Spain;150M to 250M
H RIPLEY & CO.;www.hripley.co.uk;Utilities;United Kingdom;75M to 100M
H.Z. Logistics;www.hzlogistics.eu;Logistics;Netherlands;50M to 75M
Hadley Group;www.hadleygroup.com;Engineering;United Kingdom;100M to 150M
Hadre;www.hadra-zaun.de;Manufacturing;Germany;50M to 75M
Hainbuch;www.hainbuch.com;Manufacturing & Engineering;Germany;50M to 75M
Haix Group;www.haix.com;Clothing (Manufacturing);Germany;100M to 150M
Halsion Ltd;www.halsion.online;Engineering;United Kingdom;40M to 50M
Hälssen & Lyon;www.haelssen-lyon.com;Food & Drink;Germany;100M to 150M
Hansen Dranken;www.hansendranken.nl;Wholesale;Netherlands;75M to 100M
Harmonie;www.harmonie-fruit.com;Food & Drink;France;20M to 30M
Harrison Spinks Beds Ltd ;www.harrisonbeds.co.uk;Manufacturing;United Kingdom;50M to 75M
"Havwoods
International";www.havwoods.co.uk;Manufacturing;United Kingdom;40M to 50M
Hawkins Distribution ;www.hawkinsdistribution.com;Food & Drink;France;30M to 40M
Heckert Solar;www.heckertsolar.com;Manufacturing;Germany;75M to 100M
HEGELMANN TRANSPORTE;"www.hegelmann.lt
";Logistics;Lithuania;100M to 150M
Heinen Lederfabrik;www.heinen-leather.de;Textiles;Germany;30M to 40M
Heinrich Huhn ;www.heinrich-huhn.de;Manufacturing & Engineering;Germany;75M to 100M
HEITEC;www.heitec.de;Technology;Germany;75M to 100M
Helios;www.heliosesvida.es;Food & Drink;Spain;150M to 250M
Hermes Arzneimittel;www.hermes-arzneimittel.com;Pharmaceutical/Science;Germany;150M to 250M
Heuvelman Staalhandel BV;www.heuvelman.com;Manufacturing;Netherlands;30M to 40M
Heyrod Construction Limited;www.heyrod.co.uk;Construction/Property;United Kingdom;50M to 75M
HiddenFjord;www.hiddenfjord.com;Agriculture/Farming/Forestry;Denmark;75M to 100M
Highlite International B.V.;www.highlite.nl;Wholesale;Netherlands;40M to 50M
HIMA;www.hima.be;Manufacturing;Belgium;20M to 30M
HKS;www.hks-partner.com;Manufacturing;Germany;20M to 30M
Hofpfisterei;www.hofpfisterei.de;Food & Drink;Germany;75M to 100M
Holaluz;www.holaluz.com;Energy;Spain;75M to 100M
Horizon International Cargo;www.hicargo.com;Logistics;United Kingdom;40M to 50M
Hotel Okura;www.okura.nl;Travel/Leisure;Netherlands;40M to 50M
Hotel Schiphol;www.hotelschiphol.nl;Travel/Leisure;Netherlands;20M to 30M
Howard Tenens Ltd;www.tenens.com;Logistics;United Kingdom;75M to 100M
HPS Environnement;www.hps-environnement.fr;Construction/Property;France;20M to 30M
HR Team ;www.hr-team.net;Professional Services;France;20M to 30M
HSL Chairs;www.hslchairs.com;Design & Manufacturing;United Kingdom;50M to 75M
Huber Packaging;www.huber-packaging.com;Manufacturing;Germany;150M to 250M
Huilerie Emile Noel;www.huilerieemilenoel.com;Food & Drink;France;30M to 40M
Hunts;www.huntsfoodservice.co.uk;Wholesale;United Kingdom;75M to 100M
Huuskes b.v.;www.huuskes.nl;Import/Export;Netherlands;100M to 150M
HUWS GRAY LIMITED;www.huwsgray.co.uk;Construction/Property;United Kingdom;150M to 250M
IBAK;www.ibak.de;Manufacturing;Germany;50M to 75M
IBF;www.ibf.dk;Construction/Property;Denmark;100M to 150M
Ibykus;www.ibykus.de;IT Technology;Germany;20M to 30M
Ice Cream Factory Comaker;www.icfc.es;Food & Drink;Spain;75M to 100M
Icona Coffee;www.iconacafe.com;Wholesale;Spain;150M to 250M
Idea;www.ideaspacomo.it;Textiles;Italy;20M to 30M
IDIR;www.idir.it;Motor vehicle retail;Italy;75M to 100M
IE Business School;www.ie.edu;Education;Spain;100M to 150M
igefa;www.igefa.de;Cleaning Services;Germany;100M to 150M
Iglu.com Ltd;www.iglu.com;Travel/Leisure;United Kingdom;100M to 150M
Imgrund Silogistic;www.imgrund.de;Transportation;Germany;20M to 30M
Implantcast;www.implantcast.de;Pharmaceutical/Science;Germany;75M to 100M
Incom doo;www.leone.si;Food & Drink;Slovenia;40M to 50M
INDCRESA;www.indcresa.com;Food & Drink;Spain;75M to 100M
Indiana Production;www.indianaproduction.com;Media;Italy;30M to 40M
Industria Laminazioni Ottone;www.ilosrl.com;Manufacturing;Italy;20M to 30M
Innofreight;www.innofreight.com;Transportation;Austria;20M to 30M
Innova Group;www.innovagroup.it;Packaging facilities;Italy;50M to 75M
Inplaf;www.inplaf.it;Manufacturing;Italy;20M to 30M
Insotel Hotel Group;www.insotelhotelgroup.com;Consumer Services;Spain;100M to 150M
INTEC MICROSYSTEMS LTD;www.intecmicros.co.uk;Wholesale;United Kingdom;50M to 75M
INTEGRE TRANS;www.integretrans.com;Logistics;Lithuania;20M to 30M
Intergas Verwarming B.V.;www.intergas-verwarming.nl;Energy;Netherlands;100M to 150M
InterMed;www.intermed.com.gr;Pharmaceutical/Science;Greece;20M to 30M
International Plywood;www.plywooduk.com;Import/Export;United Kingdom;150M to 250M
InterTransCom SRL ;www.intertranscom.ro;Wholesale;Romania;50M to 75M
Intitek Group;www.intitek.fr;IT Technology;France;30M to 40M
Intratuin;www.intratuin.nl;Retail;Netherlands;20M to 30M
Invest Sedlic doo;www.invest-sedlic.hr;Wholesale;Croatia ;20M to 30M
ipH;www.iph.com.cy;Wholesale;Cyprus;40M to 50M
Irrijardin;www.irrijardin.fr;Retail;France;40M to 50M
Isabellenhütte;www.isabellenhuette.de;Manufacturing;Germany;100M to 150M
ISARIA;www.isaria.com;Marketing;Germany;50M to 75M
ISCOM;www.riverclack.com;Construction/Property;Italy;30M to 40M
Isku Interior Oy;www.isku.com;Manufacturing;Finland;75M to 100M
J Sykes & Sons;www.sykesseafoods.co.uk;Food & Drink;United Kingdom;100M to 150M
J T ATKINSON & SONS LIMITED;www.jtatkinson.co.uk;Construction/Property;United Kingdom;75M to 100M
J. Tomlinson Ltd ;www.jtomlinson.co.uk;Construction/Property;United Kingdom;75M to 100M
Jack Richards & Son Ltd;www.jackrichards.co.uk;Logistics;United Kingdom;50M to 75M
Jan-Erik Sigg AB;www.siggpac.fi;Agriculture/Farming/Forestry;Finland;20M to 30M
JDM Foodgroup;www.jdmfoodgroup.co.uk;Food & Drink;United Kingdom;40M to 50M
Jean Niel;www.jeanniel.com;Chemicals;France;20M to 30M
Jeans Centre;www.jeanscentre.nl;Retail;Netherlands;50M to 75M
Job AG;www.job-ag.com;Employment Services;Germany;150M to 250M
John Guest Ltd;www.johnguest.com;Manufacturing & Engineering;United Kingdom;150M to 250M
Jollyroom;www.jollyroom.se;Retail;Sweden;50M to 75M
JOSEPH HOLT LIMITED;www.joseph-holt.com;Food & Drink;United Kingdom;50M to 75M
Jouffruit;www.jouffruit.wordpress.com;Wholesale;France;50M to 75M
JR Marteknik AB;www.jrmarkteknik.se;Construction/Property;Sweden;30M to 40M
Julesn Brochenin ;www.brochenin.com;Food & Drink;France;75M to 100M
Juustoportti Oy;www.juustoportti.fi;Food & Drink;Finland;40M to 50M
JW Morris;www.jwmorris.co.uk;Engineering;United Kingdom;40M to 50M
Kaehlig Antriebstechnik;www.kag-hannover.com;Manufacturing & Engineering;Germany;20M to 30M
Kaimann;www.kaimann.com;Manufacturing;Germany;50M to 75M
Kairos;www.kairospu.it;Manufacturing;Italy;20M to 30M
Kappa Data;www.kappadata.be;IT Technology;Belgium;20M to 30M
Karndean Designflooring;www.karndean.com;Wholesale;United Kingdom;75M to 100M
KARTESIS Industries Group;www.kartesis-industries.com;Manufacturing & Engineering;France;20M to 30M
Kask;www.kask.com;Manufacturing;Italy;20M to 30M
Kautex Maschinenbau;www.kautex-group.com;Manufacturing;Germany;100M to 150M
Keflico A/S;www.keflico.com;Wholesale;Denmark;30M to 40M
Kimal;www.kimal.com;Manufacturing;United Kingdom;40M to 50M
Kinex Bearings;www.kinex.sk;Machining;Slovakia;50M to 75M
Kingdom Services Group Ltd;www.kingdom.co.uk;Services;United Kingdom;100M to 150M
Kingsland Drinks;www.kingsland-wines.com;Wholesale;United Kingdom;150M to 250M
Kinixia Logistics;kinaxia.co.uk;Import/Export;United Kingdom;50M to 75M
Klee Group;www.kleegroup.com;IT Technology;France;30M to 40M
Klimas Wkret-met SP Z.O.O. ;www.wkret-met.com;Manufacturing;Poland;50M to 75M
KMWE Precision BV. ;www.kmwe.com;Manufacturing & Engineering;Netherlands;50M to 75M
KN Group;www.kngroup.com;Engineering;United Kingdom;75M to 100M
Kobout BV;www.kobout.com;Wholesale;Netherlands;20M to 30M
Kohiwood;www.kohiwood.fi;Manufacturing;Finland;20M to 30M
KÖHL group;www.koehl.eu;Engineering;Luxembourg;30M to 40M
KON - RAD spol S ro;www.kon-rad.eu;Wholesale;Slovakia;50M to 75M
Koppert BV.;www.koppert.nl;Agriculture/Farming/Forestry;Netherlands;75M to 100M
Kosatec Computer;www.kosatec.de;Wholesale;Germany;150M to 250M
Koudijs Animal Nutrition B.V.;www.koudijs.com;Agriculture/Farming/Forestry;Netherlands;50M to 75M
Krankikom;www.krankikom.de;IT Technology;Germany;30M to 40M
Krone;www.krone-gmbh.com;Food & Drink;Germany;100M to 150M
KSG;www.ksg.de;Electronics;Germany;75M to 100M
Kunde & Co;www.kunde.dk;Marketing;Denmark;30M to 40M
Kutterer Mauer AG ;www.kutterermauer.com;Manufacturing;Germany;75M to 100M
La Cart;www.lacart.it;Environmental Services;Italy;20M to 30M
La Masía ;www.lamasia.es;Food & Drink;Spain;75M to 100M
La Molisana;www.lamolisana.it;Food & Drink;Italy;100M to 150M
La Union Corp.;www.launioncorp.com;Wholesale;Spain;250M+
Laboratorios LETI;www.leti.com;Pharmaceutical/Science;Spain;75M to 100M
Lancio Entertainment;www.lancio-e.com;Telecommunications;Italy;20M to 30M
Lauda;www.lauda.de;Manufacturing & Engineering;Germany;50M to 75M
Laudert;www.laudert.com;Media;Germany;20M to 30M
Lava;www.lavatextiles.com;Textiles;Belgium;20M to 30M
Lawcris Panel Products Ltd;www.lawcris.co.uk;Manufacturing;United Kingdom;75M to 100M
LB Bohle;www.lbbohle.com;Manufacturing & Engineering;Germany;40M to 50M
Lea Nature ;www.leanature.com;Wholesale;France;30M to 40M
Leathams;www.leathams.com;Wholesale;United Kingdom;100M to 150M
Lebrun;www.lebrun-nimy.be;Manufacturing;Belgium;20M to 30M
Ledwood;www.ledwood.co.uk;Engineering;United Kingdom;75M to 100M
Leo Shoes;www.leoshoes.it;Clothing (Manufacturing);Italy;50M to 75M
Les Celliers Associes (Val de Rance);www.valderance.com;Food & Drink;France;30M to 40M
Les Nouveaux Robinson;www.lesnouveauxrobinson.coop;Retail;France;40M to 50M
LES VIGNERONS DU GERLAND;www.vignerons-gerland.fr;Agriculture/Farming/Forestry;France;20M to 30M
Liberty Lines;www.libertylines.it;Transportation;Italy;100M to 150M
Liebensteiner Kartonagen;www.liebensteiner.de;Packaging Facilities;Germany;50M to 75M
Lisega;www.lisega.de;Manufacturing;Germany;150M to 250M
Lödige;www.loedige.de;Manufacturing & Engineering;Germany;50M to 75M
Lodovichi Domenico;www.lodovichi.it;Manufacturing;Italy;20M to 30M
Löfbergs Coffee Group;www.abanderslofberg.com;Food & Drink;Sweden;150M to 250M
Logifruit ;www.logifruit.es;Logistics;Spain;75M to 100M
LOGIK, SRO;www.log.cz;Marketing;Czech Republic;20M to 30M
LSK Group Oy;www.lsk.fi;Electronics;Finland;50M to 75M
LSN - Body Nature ;www.body-nature.fr;Chemicals;France;20M to 30M
LTP Group ;www.l-t-p.com;Textiles;Denmark;50M to 75M
Luddon Construction Limited;www.luddon.co.uk;Engineering;United Kingdom;75M to 100M
Lumon;www.lumon.com;Construction/Property;Finland;50M to 75M
L'Univers de l'Emballage;www.univers-emballage.fr;Packaging Facilities;France;75M to 100M
Lustral;www.lustral.fr;Cleaning Services;France;20M to 30M
M.Torres Diseños Industriales, SAU;www.mtorres.es;Machining;Spain;100M to 150M
Ma.Pr.I.Com.;www.mapricom.com;Wholesale;Italy;40M to 50M
Machland;www.machland.at;Food & Drink;Austria;30M to 40M
Mack Rides;www.mack-rides.com;Manufacturing & Engineering;Germany;50M to 75M
Mafriges, S.A. ;www.mafriges.com;Food & Drink;Spain;100M to 150M
Magic Flame;www.magicflame.eu;Import/Export;Bulgaria ;50M to 75M
Mairec;www.mairec.com;Environmental Services;Germany;150M to 250M
Maitre Prunille;www.maitreprunille.com;Wholesale;France;150M to 250M
Manifattura Tessile Risaliti;www.mtrisaliti.it;Textiles;Italy;20M to 30M
Manteco;www.manteco.com;Textiles;Italy;50M to 75M
Manuco;www.manuco-nc.com;Chemicals;France;20M to 30M
Marim;www.marim.it;Electronics;Italy;75M to 100M
Mario Levi;www.mariolevi.com;Textiles;Italy;100M to 150M
Maritime;www.maritimetransport.com;Transportation;United Kingdom;250M+
Marketing VF Ltd;www.mvfglobal.com;IT Technology;United Kingdom;50M to 75M
Marma Polskie Folie;www.marma.com.pl;Manufacturing;Poland;75M to 100M
Marquises FR;www.stores-marquises.fr;Manufacturing;France;40M to 50M
Mas Naturalmente Bueno;www.supermercadosmas.com;Consumer Services;Spain;150M to 250M
MAS Supermarkets;www.mas.com.cy;Retail;Cyprus;30M to 40M
Mascato SA;www.mascato.com;Wholesale;Spain;150M to 250M
Mascot International A/S;www.mascot.dk;Textiles;Denmark;100M to 150M
MASS doo;www.mass.si;Retail;Slovenia;40M to 50M
Mastermedia;www.mastermediauk.com;Wholesale;Poland;75M to 100M
Masymas Supermercados;www.supermasymas.com;Food & Drink;Spain;150M to 250M
Materna;www.materna-france.com;Food & Drink;France;50M to 75M
Materna;www.materna.de;IT Technology;Germany;150M to 250M
Mauthner;www.mauthner.co.at;Agriculture/Farming/Forestry;Austria;50M to 75M
Max Burgers;www.max.se;Food & Drink;Sweden;250M+
McGrath;www.mcgrathgroup.co.uk;Environmental Services;United Kingdom;40M to 50M
MebleWojcik SP Z.O.O.;www.meblewojcik.com;Manufacturing;Poland;50M to 75M
Med 360°;www.med360grad.de;Professional Services;Germany;100M to 150M
Medina Dairy;www.medinadairy.co.uk;Agriculture/Farming/Forestry;United Kingdom;150M to 250M
Medipath;www.medipath.fr;Health;France;20M to 30M
MEGA SA ;www.megadis.gr;Manufacturing;Greece;100M to 150M
Megas Yeeros;www.megasyeeros.gr;Food & Drink;Greece;30M to 40M
MEILLER;www.meiller.com;Manufacturing & Engineering;Germany;250M+
Meleghy International;www.meleghyautomotive.de;Manufacturing & Engineering;Germany;150M to 250M
MELITA LIMITED;www.melita.com;Telecommunications;Malta;50M to 75M
Meltex Oy Plastics;www.meltex.fi;Wholesale;Finland;50M to 75M
MEN;www.men.de;Electronics;Germany;50M to 75M
Metaprint;www.metaprint.com;Manufacturing;Estonia;50M to 75M
Meti;www.meti.fr;IT Technology;France;20M to 30M
Mick George Ltd;www.mickgeorge.co.uk;Wholesale;United Kingdom;100M to 150M
MicroWarehouse;www.mwh.ie;IT Technology;Ireland;75M to 100M
MIKROT?KLS SIA;www.mikrotik.com;IT Technology;Latvia;150M to 250M
Millbrook Healthcare Ltd;www.millbrook-healthcare.co.uk;Health;United Kingdom;100M to 150M
Milnar d.d.;www.mlinar.hr;Food & Drink;Croatia ;50M to 75M
MKN;www.mkn.de;Manufacturing;Germany;75M to 100M
MOBA Mobile Automation ;www.moba.de;Manufacturing;Germany;40M to 50M
Modern Restauration Gestion;modern-restauration-gestion.com;Construction/Property;France;30M to 40M
MODUS;www.modus.space;Business Services;United Kingdom;50M to 75M
Mondial Pet Distribution;www.mondialpetdistribution.com;Retail;Italy;50M to 75M
MOOD;www.moodnet.it;Textiles;Italy;20M to 30M
Moortown Group;www.moortowngroup.com;Engineering;United Kingdom;50M to 75M
Mosca;www.mosca.com;Packaging Facilities;Germany;150M to 250M
Moto-Profil SP. Z.O.O. ;moto-profil.pl;Motor vehicle retail;Poland;150M to 250M
Motridal;www.motridal.com;Machining;Italy;30M to 40M
Moulins Dumee;www.moulins-dumee.com;Agriculture/Farming/Forestry;France;20M to 30M
mpi;www.mpi.ltd.uk;Employment services;United Kingdom;50M to 75M
MSJ Group;www.msjacovidesgroup.com;Wholesale;Cyprus;20M to 30M
Müller & Sohn;www.aluminiumonline.de;Environmental services;Germany;75M to 100M
Multimon;www.multimon.info;Manufacturing;Germany;50M to 75M
MultiPharme SA ;www.multipharme.pl;Pharmaceutical/Science;Poland;50M to 75M
Multitel Pagliero;www.pagliero.com;Manufacturing;Italy;50M to 75M
Munnelly Support Services Ltd;www.munnellys.com;Logistics;United Kingdom;40M to 50M
Music & Lights;www.musiclightsitaly.com;Technology;Italy;20M to 30M
Musik Meyer;www.musik-meyer.de;Retail;Germany;50M to 75M
N.V. Slibverwerking Noord-Brabant (SNB);www.snb.nl;Environmental Services;Netherlands;30M to 40M
Nabeiro Group;www.grupo-nabeiro.pt;Food & Drink;Portugal;100M to 150M
Nafmera;www.nafmera.lt;Wholesale;Lithuania;40M to 50M
Nahrin Swisscare;www.swisscare.it;Pharmaceutical/Science;Italy;20M to 30M
Nazionale Elettronica;www.nazionaleelettronica.it;Electronics;Italy;20M to 30M
Neilcott Construction Group;www.neilcott.co.uk;Construction/Property;United Kingdom;100M to 150M
Nestle Home Care;www.nhc.info;Fitness & Health;France;50M to 75M
Nexeya;www.nexeya.com;Electronics;France;75M to 100M
Next Unio Magyarorszag KFT.;www.nextunio.hu;Wholesale;Hungary;50M to 75M
Nextel;www.nextel.be;Telecommunications;Belgium;40M to 50M
Nibler;www.nibler.de;Engineering;Germany;50M to 75M
Nicomatic;www.nicomatic.com;Manufacturing & Engineering;France;20M to 30M
NJIE Foods AB;www.njie.se;Food & Drink;Sweden;20M to 30M
Nordic Trout Ab;www.nordictrout.com;Agriculture/Farming/Forestry;Finland;30M to 40M
Nordmark ;www.nordmark-pharma.de;Pharmaceutical/Science;Germany;75M to 100M
Normet;www.normet.com;Technology;Finland;50M to 75M
Normon Laboratories;www.normon.es;Pharmaceutical/Science;Spain;150M to 250M
Norrvidinge;www.norrvidinge.se;Transportation;Sweden;10M to 20M
Norsys;www.norsys.fr;IT Technology;France;30M to 40M
Nortempo;www.nortempo.com;Business Services;Spain;100M to 150M
Northwood Hygine Products Ltd;www.northwood.co.uk;Manufacturing;United Kingdom;50M to 75M
Noteboom Trailers B.V.;www.nooteboom.com;Manufacturing;Netherlands;75M to 100M
Nova Frutta;www.novafrutta.it;Food & Drink;Italy;30M to 40M
Nova Trading SA;www.nova-trading.com;Wholesale;Poland;150M to 250M
NPP;www.npp.ie;Manufacturing;Ireland;20M to 30M
NSC Global ;www.nscglobal.com;IT Technology;United Kingdom;75M to 100M
Nufri Group;www.nufri.com;Food & Drink;Spain;150M to 250M
Nuova Erreplast;www.nuovaerreplast.it;Packaging facilities;Italy;20M to 30M
Nutrend D.S., a.s.;www.nutrend.cz;Health;Czech Republic;20M to 30M
Occasion Brand Experience;www.occasion.se;Media;Sweden;20M to 30M
Ochsner Wärmepumpen;www.ochsner.com;Manufacturing;Austria;20M to 30M
Octavian;www.octaviangaming.com;Technology;Italy;20M to 30M
OctoWood AB;www.octowood.se;Manufacturing;Sweden;20M to 30M
O'Halloran & O'Briend LTD;www.ohob.com;Construction/Property;United Kingdom;250M+
Okegowa Spoldzielnia Mleczarska w Piatnicy ;www.piatnica.com.pl;Food & Drink;Poland;150M to 250M
Oknoplast Sp zoo;oknoplast.com;Manufacturing;Poland;100M to 150M
Oktra;www.oktra.co.uk;Design;United Kingdom;50M to 75M
OMD GROUP LIMITED;www.omd.com;Marketing;United Kingdom;100M to 150M
OMER;www.omerspa.com;Design;Italy;30M to 40M
Omnicos Group;www.omnicos.it;Manufacturing;Italy;20M to 30M
One Group Construction;www.onegroupconstruction.com;Construction/Property;United Kingdom;150M to 250M
Operator Groep Delft B.V;www.ogd.nl;IT Technology;Netherlands;40M to 50M
Óptica Del Penedes;www.opticauniversitaria.es;Retail;Spain;75M to 100M
Optima Contracting Ltd ;www.optimasystems.com;Manufacturing;United Kingdom;50M to 75M
Orion;www.orion-veicolispeciali.info;Motor vehicle retail;Italy;20M to 30M
Ormazabal Velatia;www.ormazabal.com;Technology;Spain;150M to 250M
Ortec BV.;www.ortec.com;IT Technology;Netherlands;50M to 75M
OTCF SA;www.otcf.pl;Clothing (Manufacturing);Poland;100M to 150M
